x_utm,y_utm,ba_ppm,co_ppm,cr_ppm,cu_ppm,fe2o3_pct,ni_ppm,p_ppm,pb_ppm,v_ppm,y_ppm,zn_ppm
763705,6192742,324,11,33,21,2.12,12,148,16,41,11,31
763026,6193420,321,17,43,23,2.22,25,161,18,39,12,35
763014,6193996,324,12,47,27,2.70,19,208,15,49,10,39
762974,6195151,346,17,44,23,3.52,24,129,13,61,13,47
762784,6195190,421,12,37,16,3.49,12,203,16,59,16,52
762097,6194028,530,15,34,16,4.02,29,176,20,61,16,59
762375,6196199,388,15,34,23,2.76,20,187,13,47,13,35
761657,6195468,387,15,30,20,4.10,15,306,18,61,13,48
761466,6196349,387,25,38,21,5.36,19,199,13,69,17,59
762007,6198781,426,25,34,27,8.66,20,294,18,103,23,91
761741,6198248,390,13,34,24,5.45,15,324,18,78,33,84
761245,6194184,347,14,38,16,2.86,15,210,11,49,15,40
759647,6193089,352,11,34,21,1.90,21,192,16,34,13,38
759340,6193644,357,13,38,19,2.39,21,209,13,38,12,38
759372,6193094,394,26,45,11,3.82,18,408,18,61,23,66
760118,6192533,376,26,38,20,4.43,19,232,12,64,15,49
762087,6193200,357,12,32,24,2.85,16,192,12,48,14,46
762600,6192803,360,14,53,19,2.75,19,175,13,44,15,51
760637,6192104,401,14,48,23,2.83,28,193,16,46,14,40
764437,6204211,387,15,45,25,3.93,23,307,14,61,17,51
765188,6204386,516,14,37,23,5.38,18,491,11,88,21,66
765876,6203528,392,12,40,25,2.12,23,215,15,40,21,43
766427,6202809,379,14,35,22,4.07,16,248,20,57,18,49
767337,6204126,329,15,36,17,3.89,17,382,15,64,12,64
767432,6203544,476,11,33,19,4.20,28,151,18,70,16,58
767247,6202010,374,26,43,40,5.28,24,146,19,86,14,67
754515,6193357,388,16,31,16,3.72,32,207,14,57,15,55
754223,6193687,370,22,51,26,3.10,24,187,11,46,12,48
753905,6194195,523,26,29,25,4.48,16,331,13,54,21,70
753804,6195078,479,13,42,19,4.43,14,309,19,50,17,73
756286,6193141,416,19,42,25,4.56,22,271,19,61,29,52
756045,6193192,445,11,33,24,2.86,18,235,16,46,19,44
755569,6192843,304,11,44,23,2.13,20,233,13,43,9,31
755036,6192386,422,12,43,19,2.36,22,178,13,50,12,34
753378,6196024,395,11,41,23,5.58,20,318,12,80,15,57
751835,6196475,553,21,47,25,5.79,28,552,12,69,23,98
751460,6196247,556,14,36,17,7.66,18,499,17,115,25,123
752026,6196037,800,27,20,14,6.11,34,1793,12,81,26,85
752432,6196266,521,13,41,19,4.32,21,348,17,68,21,71
752305,6195872,541,11,47,25,5.39,19,287,12,78,18,74
752864,6195605,420,21,41,28,4.26,27,247,14,71,15,39
757791,6195192,409,13,40,24,2.56,19,195,19,44,14,38
758001,6192957,332,27,29,16,1.66,11,216,15,29,11,33
757874,6192595,340,27,41,20,1.69,18,183,11,32,9,31
758293,6192570,339,11,49,18,1.47,20,215,15,27,10,27
758534,6194297,355,17,42,25,2.07,27,195,16,40,9,31
